"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,144316144,5
2020,144316254,5
2020,144319639,4
2020,144319649,4
2020,144319805,5
2020,144316486,5
2020,144319877,4
2020,144319889,5
2020,144316647,4
2020,144320119,5
2020,144320118,5
2020,144320148,3
2020,144320240,5
2020,144320268,5
2020,144316792,4
2020,144320335,4
2020,144316833,4
2020,144316834,4
2020,144320367,4
2020,144320383,5
2020,144320478,4
2020,144320946,5
2020,144317374,4
2020,144317373,4
2020,149389150,5
2020,149389255,5
2020,149393314,2
2020,145836934,4
2020,145836942,5
2020,145836953,5
2020,145837007,2
2020,145837054,5
2020,145837091,5
2020,145837100,4
2020,145837120,5
2020,145837137,5
2020,145839846,5
2020,145837288,5
2020,145837308,5
2020,145837309,5
2020,145837326,4
2020,145837324,4
2020,145837345,5
2020,145837349,4
2020,145840195,3
2020,145837483,5
2020,145840378,5
2020,145837484,5
2020,145837482,5
2020,145837480,5
2020,145837501,5
2020,145840417,5
2020,145840415,5
2020,145840452,5
2020,145840549,4
2020,145840611,5
2020,149394603,5
2020,149394611,5
2020,145841405,4
2020,149390278,5
2020,149394628,5
2020,149390825,5
2020,149390827,5
2020,145839925,5
2020,145840165,4
2020,145837353,4
2020,145840257,5
2020,145840525,5
2020,145840540,5
2020,145840631,4
2020,145837609,4
2020,145841158,5
2020,145841194,5
2020,145842965,7
2020,145842981,5
2020,145841442,5
2020,145662077,5
2020,145657538,5
2020,145662444,4
2020,145662566,4
2020,145662675,4
2020,145662676,4
2020,145662796,5
2020,146107221,4
2020,146107481,3
2020,146107861,5
2020,146113028,5
2020,146113371,5
2020,146111468,5
2020,146113366,5
2020,146113356,5
2020,146107684,4
2020,146107874,5
2020,146113433,5
2020,146111062,4
2020,146107311,4
2020,146107351,5
2020,146107357,4
2020,146107372,5
2020,146107369,5
2020,146107858,4
2020,145836944,5
2020,145839726,5
2020,145839732,3
2020,145837111,5
2020,145837112,5
2020,145837124,5
2020,145837311,4
2020,145837316,5
2020,145840463,4
2020,145840461,4
2020,145840732,4
2020,144314752,5
2020,144314770,5
2020,144315007,5
2020,144315040,4
2020,144315299,5
2020,144318536,4
2020,144315339,4
2020,144315347,4
2020,144318568,5
2020,144318644,5
2020,144318822,5
2020,144318823,5
2020,144318927,5
2020,144315896,4
2020,144315978,5
2020,144319308,5
2020,144315987,4
2020,144316094,5
2020,144316133,4
2020,144316217,4
2020,144319569,4
2020,144319576,5
2020,144316223,5
2020,144316513,5
2020,144316515,5
2020,144320137,5
2020,144316684,1
2020,144316684,6
2020,144320267,5
2020,144316828,4
2020,144320349,4
2020,144316831,4
2020,144316861,5
2020,144316902,5
2020,144316905,4
2020,144320470,4
2020,144316915,4
2020,144320855,1
2020,144320855,4
2020,144320957,4
2020,144320966,6
2020,144320966,2
2020,144321008,5
2020,143758994,5
2020,143749773,8
2020,143749775,5
2020,143757972,4
2020,143758033,5
2020,143749924,5
2020,143750217,4
2020,143758335,5
2020,143758644,5
2020,143750913,5
2020,143750911,5
2020,143750908,5
2020,143758761,5
2020,143751193,4
2020,143751413,5
2020,146653754,4
2020,146663464,4
2020,145839497,5
2020,145839503,4
2020,145839527,4
2020,145839528,5
2020,145839548,5
2020,145839546,5
2020,145839541,5
2020,145839543,5
2020,145839553,4
2020,145839556,4
2020,145839569,4
2020,145839572,5
2020,145839587,6
2020,145839592,5
2020,145839598,5
2020,145839621,4
2020,145839623,5
2020,145839631,5
2020,145839632,4
2020,145839633,4
2020,145836983,3
2020,145839638,4
2020,145839639,5
2020,145839649,4
2020,145839654,5
2020,145839679,5
2020,145839677,5
2020,145839688,5
2020,145839720,5
2020,145839729,3
2020,145839754,4
2020,145837064,5
2020,145839765,4
2020,145839771,5
2020,145839772,5
2020,145837078,1
2020,145839785,5
2020,145839787,4
2020,145839788,4
2020,145837114,5
2020,145837115,5
2020,145839812,5
2020,145839870,4
2020,145839878,4
2020,145839892,5
2020,145839910,5
2020,145839921,4
2020,145837194,4
2020,145839961,4
2020,145839960,4
2020,145839974,5
2020,145837212,4
2020,145840049,4
2020,145840065,5
2020,145840095,5
2020,145837303,2
2020,145837312,4
2020,145840159,6
2020,145840164,4
2020,145840166,4
2020,145840184,4
2020,145837378,5
2020,145840193,5
2020,145840196,4
2020,145840222,4
2020,145837404,5
2020,145840227,4
2020,145840261,4
2020,145837419,4
2020,145840258,5
2020,145837420,5
2020,145840260,5
2020,145840264,5
2020,143757942,2
2020,143757968,5
2020,143749779,5
2020,143757976,4
2020,143758038,4
2020,143749926,4
2020,143758085,4
2020,143758206,4
2020,143750193,5
2020,143758220,4
2020,143750997,3
2020,143751157,5
2020,143751530,5
2020,143751703,5
2020,143749964,5
2020,143758166,5
2020,143750421,5
2020,143758367,5
2020,143758404,4
2020,143758403,4
2020,143750607,4
2020,143758472,4
2020,143750671,4
2020,143750665,4
2020,143758518,5
2020,143750720,5
2020,143758629,1
2020,143758636,5
2020,143758635,4
2020,143751292,5
2020,143751605,5
2020,143751607,5
2020,143758978,4
2020,143758993,5
2020,143757947,5
2020,143758081,5
2020,143750051,5
2020,143758136,5
2020,143758137,5
2020,143758202,5
2020,143758249,5
2020,143758595,5
2020,143750868,5
2020,143758649,4
2020,143751262,5
2020,143751374,4
2020,143751523,7
2020,143751523,2
2020,143759001,5
2020,146506149,4
2020,146506170,5
