"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,129623733,32,1,15029214
2020,2,129623817,2,9,15037517
2020,2,129623831,1,9,15029222
2020,4,129623831,2,9,15029223
2020,1,129623831,1,9,15029221
2020,1,129622668,1,11,15029158
2020,2,129622670,1,11,15029159
2020,1,129622722,1,9,15029165
2020,5,129622740,1,9,15029167
2020,2,129629824,1,11,15029173
2020,2,129630093,1,11,15037493
2020,5,129630231,1,11,15037500
2020,10,129623847,,,15029226
2020,5,135739543,3,9,16263639
2020,2,135739543,1,9,16263638
2020,10,129385501,0.5,7,14982837
2020,5,129385501,30,1,14982836
2020,5,134452446,13.5,1,16057427
2020,11,134452446,4.2,1,16057426
2020,1,134452506,4,1,16057428
2020,15,134449137,4,9,16057430
2020,8,134449137,168,5,16059521
2020,5,134452620,906,1,16057432
2020,10,134452657,1,7,16057435
2020,5,134449183,424.1,1,16059523
2020,5,134452778,10.5,1,16057439
2020,10,134452779,2,7,16057440
2020,5,134452826,16.27,1,16057451
2020,5,134452990,1,11,16057456
2020,5,134453001,114,1,16057461
2020,5,134453004,620,1,16057466
2020,5,134453011,50.01,1,16057470
2020,5,134453014,347,1,16062472
2020,5,134453013,12,1,16057471
2020,5,134449327,0.6,1,16059556
2020,5,134449331,118,1,16059559
2020,10,134453023,0.1,3,16062481
2020,1,134453032,5,1,16062490
2020,5,134453032,1.5,1,16062491
2020,5,134453035,72,1,16062493
2020,11,134453041,2.25,1,16062497
2020,5,134453041,1013.7,1,16062496
2020,8,134453058,5,9,16062501
2020,5,134453128,98.02,1,16062505
2020,5,134453138,40,1,16062509
2020,18,134453321,,,16062517
2020,1,134453321,27,1,16062515
2020,10,134453321,5.25,7,16062516
2020,10,134453333,1,3,16062520
2020,5,134449448,30,1,16062522
2020,5,134453335,29,1,16062519
2020,8,134453335,10,9,16062521
2020,12,129623060,4,1,15029182
2020,5,129630050,1,11,15037490
2020,16,129623520,1,11,15029208
2020,5,129623520,1,11,15037510
2020,5,129623627,1,11,15029211
2020,5,129630675,1,11,15037526
2020,2,129630741,1,11,15037530
2020,12,129630741,1,11,15029228
2020,5,129389582,8,1,14978340
2020,8,129389582,473,5,14978341
2020,5,129384792,13.3,1,14982802
2020,2,129390953,0.1,1,14978449
2020,1,129390953,0.6,1,14978448
2020,10,129390996,0.1,7,14978473
2020,5,129385540,40,1,14982857
2020,5,129630074,2,1,15037492
