"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,129159449,25,200,,143920904
2020,129159449,61,900,,143920901
2020,129159449,63,100,,143920905
2020,129159449,47,0,,143920907
2020,129159449,16,200,,143920903
2020,129159449,17,2400,,143920900
2020,129159480,3,10000,,143920942
2020,129161957,3,10000,02-MAR-20,143915066
2020,129162027,10,,,143921066
2020,129162050,16,30,,143921094
2020,129164612,38,200,,143921106
2020,129162062,34,2000,,143921107
2020,129162074,63,5000,,143921125
2020,129164637,38,10,,143921129
2020,129164731,10,,,143921250
2020,129164745,20,2,,143915330
2020,129164772,10,,,143921322
2020,129162254,6,100,,143915427
2020,129164790,38,3150,,143921353
2020,129162254,49,60,,143915428
2020,129162254,63,40,,143915429
2020,129162265,51,0,,143915447
2020,129162263,38,100,,143915442
2020,129162265,20,10,,143915446
2020,129162265,63,50,,143915444
2020,129162859,3,65000,,143922586
2020,129162865,3,30000,,143922593
2020,129165708,20,95,,143922612
2020,129162924,19,720,12-APR-20,143916403
2020,129165759,19,720,,143916405
2020,129165766,20,83440,,143922691
2020,129162952,6,139,,143922729
2020,129162951,38,100,,143922722
2020,129162952,61,1100,,143916430
2020,129162952,63,475,,143922726
2020,129162952,25,275,,143922728
2020,129165798,50,10000,,143922741
2020,129165809,38,50,,143922758
2020,129165916,38,200,,143922892
2020,129165965,38,70,,143922963
2020,129165984,3,20000,18-FEB-20,143922988
2020,129163086,3,20000,,143922992
2020,129166004,20,22000,,143916605
2020,129166008,63,1,,143923016
2020,129163109,20,50,,143923026
2020,129163109,25,2,,143916613
2020,129163109,63,20,,143923027
2020,129166023,20,8005,,143923035
2020,129163120,63,350,,143916631
2020,129163149,3,35000,,143916657
2020,129163165,10,,,143916670
2020,129166079,61,100,,143923116
2020,129163177,6,500,,143916687
2020,129166113,38,200,,143923163
2020,129163192,63,550,,143916704
2020,129166175,25,140,,143923215
2020,129166175,6,272,,143916743
2020,129166175,3,12000,,143916739
2020,129166175,63,2544,,143916740
2020,129163219,3,28290,09-MAR-20,143916751
2020,129166192,13,700,23-MAR-20,143923234
2020,129166198,10,80,,143923236
2020,129163240,38,70,,143923261
2020,129163249,10,480,,143923294
2020,129163271,16,200,,143916813
2020,129166255,38,150,,143923318
2020,129163271,54,150,,143923321
2020,129163271,36,4000,,143923320
2020,129163294,38,800,,143923373
2020,129163305,57,1415,,143923397
2020,129166314,63,200,,143923395
2020,129166342,38,500,,143923440
2020,129166396,38,250,,143916897
2020,129166397,63,300,,143923498
2020,129166415,38,106,,143923523
2020,129166433,38,200,,143923541
2020,129166434,63,20,,143916921
2020,129166434,38,1300,,143916920
2020,129163366,38,1000,,143923598
2020,129166487,38,300,,143923611
2020,129163371,6,450,,143916957
2020,129163371,7,2000,,143916956
2020,129163377,38,1420,,143916970
2020,129166515,51,0,,143923651
2020,129166515,38,3825,,143916971
2020,129166515,25,10,,143916972
2020,129166548,7,400,,143923684
2020,129166548,63,30,,143923689
2020,129166548,25,50,,143923687
2020,129166535,38,200,,143923679
2020,129166561,24,2500,19-FEB-20,143923714
2020,129166563,24,2500,,143923716
2020,129163407,38,1000,,143923747
2020,129161953,61,500,,143920929
2020,129161958,38,500,,143915067
2020,129159481,63,1,,143920943
2020,129161964,3,40000,,143915075
2020,129161978,20,85,,143915089
2020,129161977,38,200,,143915088
2020,129159521,16,2146,,143920989
2020,129159521,36,4380,,143920988
2020,129159528,3,9500,,143920995
2020,129159525,3,9500,30-JAN-20,143920994
2020,129162011,3,200,,143915138
2020,129162011,38,150,,143915139
2020,129159565,3,1,,143921051
2020,129164585,3,200,,143921082
2020,129162057,52,0,,143915186
2020,129164616,38,250,,143915197
2020,129162067,38,700,,143915201
2020,129164629,52,0,,143921121
2020,129164721,38,150,13-FEB-20,143921235
2020,129162137,27,200,,143915290
2020,129164721,27,200,13-FEB-20,143915286
2020,129162137,38,150,,143915293
2020,129164725,3,11450,29-FEB-20,143921241
2020,129164736,3,14175,29-FEB-20,143921258
2020,129162164,63,200,,143915320
2020,129162176,20,40,,143915342
2020,129162176,61,300,,143915340
2020,129162176,26,200,,143915341
2020,129162175,63,200,,143921279
2020,129164774,10,,,143915406
2020,129164824,20,255,,143921395
2020,129164824,10,,,143921396
2020,129164827,63,20,,143921408
2020,129164832,27,80,,143915482
2020,129162304,17,1000,,143921435
