"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,156828913
2020,4,156828956
2020,4,156828970
2020,4,156828974
2020,4,156829053
2020,4,156832951
2020,4,156832953
2020,4,156829084
2020,3,156829139
2020,4,156829227
2020,4,156829249
2020,4,156829276
2020,4,156829311
2020,4,156829327
2020,4,156829335
2020,4,156829355
2020,4,156829393
2020,4,156829413
2020,4,156829426
2020,4,156829443
2020,4,156829451
2020,4,156833053
2020,4,156829486
2020,4,156829514
2020,4,156833063
2020,4,156829573
2020,4,156829603
2020,4,156829480
2020,4,156829489
2020,4,156833056
2020,4,156829498
2020,4,156829507
2020,4,156829540
2020,4,156829551
2020,4,156829556
2020,4,156829566
2020,3,156829607
2020,4,156833085
2020,4,156829648
2020,4,156829665
2020,4,156829737
2020,4,156829762
2020,4,156829763
2020,4,156829792
2020,4,156829826
2020,4,156829862
2020,3,156833187
2020,1,156833197
2020,1,156829906
2020,4,156829931
2020,4,156829994
2020,4,156830017
2020,4,156830038
2020,4,156833230
2020,4,156830049
2020,4,156833235
2020,4,156830103
2020,2,156833250
2020,4,156830135
2020,4,156833285
2020,4,156833287
2020,4,156830241
2020,2,156833295
2020,4,156830259
2020,4,156830270
2020,4,156830299
2020,4,156830323
2020,4,156830335
2020,4,156833327
2020,4,156830377
2020,4,156830410
2020,4,156830422
2020,4,156830433
2020,2,156830502
2020,4,156833392
2020,4,156833397
2020,4,156830555
2020,4,156830598
2020,4,156833434
2020,4,156830637
2020,4,156830683
2020,4,156830735
2020,3,156833467
2020,3,156830775
2020,3,156830773
2020,4,156830801
2020,3,156833486
2020,4,156828673
2020,3,156828693
2020,1,156828699
2020,3,156828708
2020,4,156828711
2020,4,156828716
2020,4,156828721
2020,1,156828743
2020,4,156832854
2020,4,156828763
2020,4,156828771
2020,4,156828779
2020,4,156828784
2020,4,156828788
2020,4,156828787
2020,4,156828786
2020,4,156832865
2020,4,156828800
2020,4,156828835
2020,4,156828847
2020,4,156832879
2020,4,156828860
2020,3,156828865
2020,3,156828866
2020,4,156828874
2020,4,156828882
2020,4,156828941
2020,4,156829071
2020,4,156832963
2020,4,156829142
2020,4,156829158
2020,4,156829168
2020,4,156829177
2020,4,156829201
2020,4,156829203
2020,4,156829215
2020,4,156829243
2020,4,156829248
2020,4,156833003
2020,4,156829304
2020,4,156833009
2020,4,156829333
2020,4,156829348
2020,4,156829361
2020,4,156829416
2020,1,156829455
2020,4,156829465
2020,4,156829478
2020,4,163647293
2020,4,163647328
2020,4,163647381
2020,4,163651197
2020,4,163647404
2020,4,163647461
2020,4,163651291
2020,4,163651365
2020,4,163647568
2020,3,163651456
2020,4,163651548
2020,4,163648145
2020,4,163652058
2020,4,163648385
2020,4,163652334
2020,4,163652656
2020,4,148229834
2020,4,148229839
2020,4,148217653
2020,1,148229843
2020,1,148229842
2020,4,148229845
2020,4,148229846
2020,4,148229855
2020,4,148229860
2020,4,148229862
2020,4,148229864
2020,4,148229865
2020,4,148229875
2020,3,149846258
2020,4,149846274
2020,4,149841699
2020,4,149841698
2020,4,148931785
2020,4,148931809
2020,4,148931932
2020,4,148931942
2020,4,148931832
2020,4,148931831
2020,4,148936568
2020,4,148931868
2020,4,148931889
2020,4,148931895
2020,4,148931894
2020,4,148936594
2020,4,148931921
2020,4,148931922
2020,4,148931923
2020,4,148931937
2020,4,148931950
2020,4,148931949
2020,4,148931953
2020,4,148931978
2020,4,148931977
2020,4,148931990
2020,4,148936635
2020,4,148931995
2020,3,148932000
2020,1,148932000
2020,4,148932031
2020,4,148936655
2020,4,148932049
2020,4,148932064
2020,4,148932067
2020,4,148932073
2020,4,148932095
2020,3,148932115
2020,4,148932117
2020,4,148932120
2020,4,148932121
2020,3,148932122
2020,4,148932124
2020,3,148932132
2020,4,148936721
2020,4,148936720
2020,4,148932145
2020,1,148932149
2020,4,148932158
2020,3,148932159
2020,3,148932160
2020,1,148932160
2020,4,148932174
2020,4,148932182
2020,4,148936748
2020,1,148932187
2020,4,148932188
2020,4,148932190
2020,4,148932194
2020,4,148932195
2020,4,148931796
2020,4,148931803
2020,4,148931816
2020,4,148931836
2020,1,148931838
2020,4,148936562
2020,4,148936563
2020,1,148931853
2020,3,148931875
2020,4,148931958
2020,4,148931960
2020,4,148931983
2020,4,148936637
2020,4,148932020
2020,4,148932021
2020,4,148936645
2020,4,148932030
2020,4,148933281
2020,4,148933283
2020,4,148933285
2020,4,148933286
2020,4,148933288
2020,4,148933287
