"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,146107861,10,
2020,146113028,1,
2020,146113371,1,
2020,146113366,1,
2020,146111468,1,
2020,146113356,1,
2020,146506468,1,
2020,146509088,1,
2020,146506993,10,
2020,146507258,10,
2020,143912071,10,
2020,146508737,10,
2020,146506471,1,
2020,146507267,1,
2020,146507267,6,
2020,146507356,1,
2020,146507359,1,
2020,146507354,1,
2020,142703537,9,
2020,149389121,1,
2020,149389140,1,
2020,149389159,1,
2020,149389164,1,
2020,149389240,3,
2020,149389240,1,
2020,149394603,9,
2020,139703620,9,
2020,139703939,1,
2020,139703725,1,
2020,139700090,1,
2020,139703973,8,
2020,139704006,10,
2020,139704314,6,
2020,139704314,1,
2020,139704330,1,
2020,139700356,1,
2020,139704340,1,
2020,139704350,10,
2020,139704359,1,
2020,139704380,10,
2020,139704382,6,
2020,139700539,10,
2020,139704657,10,
2020,139704658,1,
2020,139704717,1,
2020,139704744,9,
2020,139704758,1,
2020,139700645,1,
2020,140011297,1,
2020,140011296,1,
2020,140011298,1,
2020,140011570,9,
2020,140016292,9,
2020,140016291,9,
2020,140011855,1,
2020,134428570,1,
2020,134444472,1,
2020,134433764,10,
2020,134433767,10,
2020,134433765,10,
2020,134444554,10,
2020,134433766,10,
2020,134444559,10,
2020,134445119,1,
2020,134445219,9,
2020,134445311,9,
2020,134445346,9,
2020,134445400,1,
2020,134445472,1,
2020,134445473,1,
2020,134445512,9,
2020,134445544,1,
2020,134445548,10,
2020,134445575,1,
2020,134445576,1,
2020,134445589,1,
2020,134445693,1,
2020,140017104,1,
2020,140016021,10,
2020,140016095,1,
2020,140012562,1,
2020,140012581,1,
2020,140017380,1,
2020,140012633,1,
2020,140015992,1,
2020,140015991,1,
2020,140016113,10,
2020,138107779,10,
2020,138107780,10,
2020,135125027,10,
2020,135125025,10,
2020,135125026,10,
2020,135125033,10,
2020,135125094,1,
2020,135125136,6,
2020,135125154,1,
2020,135125209,1,
2020,135125258,1,
2020,135125391,2,
2020,135125392,2,
2020,136217015,1,
2020,136217076,1,
2020,140640776,1,
2020,140640776,9,
2020,140645489,10,
2020,140645912,10,
2020,140640515,10,
2020,140645410,5,
2020,140645982,1,
2020,140646700,9,
2020,139419969,9,
2020,138911406,1,
2020,138911406,9,
2020,140640601,1,
2020,140646018,1,
2020,139415564,3,
2020,139416422,10,
2020,139420028,1,
2020,140640833,1,
2020,140646292,1,
2020,136216999,1,
2020,137140432,1,
2020,139420831,1,
2020,137140431,1,
2020,137140429,10,
2020,137140430,9,
2020,135771684,9,
2020,135771684,1,
2020,135772130,1,
2020,135772168,10,
2020,135772217,1,
2020,135772236,1,
2020,135772249,1,
2020,135772248,1,
2020,135772256,9,
2020,135772350,1,
2020,135772349,1,
2020,135772632,1,
2020,135772643,10,
2020,135771631,1,
2020,147787946,1,
2020,147785657,6,
2020,147785657,1,
2020,149389168,1,
2020,149393192,10,
2020,149393222,1,
2020,149390942,1,
2020,144312749,10,
2020,144318799,10,
2020,144315623,1,
2020,144315569,1,
2020,144318789,6,
2020,144317907,1,
2020,144315364,10,
2020,145661235,2,
2020,145661331,10,
2020,145657310,10,
2020,145662753,9,
2020,144315581,10,
2020,144319082,1,
2020,144319224,1,
2020,144318968,10,
2020,144318969,10,
2020,144319646,11,4
2020,144319659,10,
2020,144319660,10,
2020,144316330,1,
2020,144320242,1,
2020,144321062,1,
2020,144317343,1,
2020,144317342,2,
2020,144315726,8,
2020,144319732,1,
2020,144320330,9,
2020,144320329,9,
2020,144320564,10,
2020,144317046,9,
2020,144317150,1,
2020,145662595,9,
2020,145657731,10,
2020,144315900,1,
2020,144316161,1,
2020,144316161,6,
2020,144319988,9,
2020,144320254,1,
2020,144320263,9,
2020,144316918,6,
2020,144316967,10,
2020,144316966,10,
2020,144321083,1,
2020,144318993,1,
2020,144319208,1,
2020,144319511,1,
2020,144320150,1,
2020,144320518,1,
2020,144319331,1,
2020,144316010,1,
2020,144319110,6,
2020,144319136,10,
2020,144316317,1,
2020,144319132,6,
2020,144319132,1,
2020,142703269,1,
2020,145837768,1,
2020,145837004,10,
2020,145841361,9,
2020,145841359,9,
2020,146106288,10,
2020,146106506,10,
2020,146106638,9,
2020,146107142,1,
2020,146107137,1,
2020,145837105,1,
2020,145840986,9,
2020,147785575,1,
2020,147787927,10,
2020,147788949,6,
2020,146106502,1,
2020,146106503,1,
2020,146107734,10,
2020,146113274,1,
2020,146113370,10,
2020,146107345,10,
2020,146113435,10,
2020,146508733,1,
2020,146508854,6,
2020,146506760,10,
2020,146509041,10,
2020,146507180,1,
2020,146509413,9,
2020,146509466,10,
2020,146509472,9,
2020,146507259,10,
2020,146509548,10,
2020,146110790,1,
2020,146110799,1,
2020,146110800,1,
2020,146107713,1,
2020,146508505,1,
2020,146508688,17,
2020,146508750,1,
2020,146506573,1,
2020,146508860,2,
2020,146508875,10,
2020,146509533,10,
2020,146107501,1,
2020,146107522,2,
2020,146110880,2,
2020,146106946,1,
2020,146106946,9,
2020,147782802,1,
2020,147788981,6,
2020,142696876,1,
2020,142701927,10,
2020,142697415,9,
2020,142697713,9,
2020,142702176,1,
2020,142703128,9,
2020,142703348,10,
2020,142703623,1,
2020,142703659,1,
2020,142703674,1,
2020,142704043,1,
2020,142704042,1,
2020,142697406,6,
2020,134444041,9,
2020,134444084,10,
2020,140011304,1,
2020,140016333,9,
2020,134443951,9,
