"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,9,148217859
2020,6,148217860
2020,9,148217873
2020,9,148217188
2020,3,148217201
2020,6,148230128
2020,9,148217951
2020,6,148217971
2020,4,148230177
2020,6,148218014
2020,9,148227250
2020,6,148216672
2020,9,148216693
2020,9,148231318
2020,6,148216711
2020,9,148231333
2020,9,148227427
2020,6,148216717
2020,6,148227440
2020,9,148227461
2020,6,148216730
2020,9,148216740
2020,6,148216748
2020,6,148216751
2020,6,148216752
2020,9,148216756
2020,9,148216768
2020,9,148216777
2020,6,148216778
2020,9,148216785
2020,3,148216789
2020,3,148227512
2020,9,148216792
2020,9,148231397
2020,9,148216795
2020,9,148216797
2020,9,148216798
2020,6,148216799
2020,9,148216812
2020,9,148216825
2020,9,148216829
2020,9,148216833
2020,6,148216834
2020,5,148216839
2020,9,148216840
2020,9,148216847
2020,6,148216850
2020,9,148216853
2020,9,148216857
2020,6,148216858
2020,6,148216865
2020,6,148216872
2020,8,148216878
2020,9,148216881
2020,6,148216884
2020,6,148216885
2020,9,148227612
2020,6,148227617
2020,6,148227622
2020,6,148216910
2020,1,148216911
2020,9,148227638
2020,9,148227641
2020,8,148227645
2020,6,148227649
2020,6,148216919
2020,6,148227652
2020,6,148216928
2020,9,148216931
2020,6,148216935
2020,6,148216936
2020,9,148216939
2020,3,148216934
2020,6,148227677
2020,6,148227687
2020,6,148216958
2020,6,148216960
2020,6,148216964
2020,6,148216972
2020,9,148216974
2020,9,148227713
2020,9,148216976
2020,6,148216977
2020,6,148216982
2020,6,148216983
2020,6,148216985
2020,9,148216998
2020,6,148227734
2020,6,148217009
2020,3,148217010
2020,6,148227758
2020,6,148227756
2020,6,148217016
2020,6,148217017
2020,6,148217022
2020,6,148217026
2020,6,148217027
2020,6,148217033
2020,9,148227784
2020,9,148227785
2020,6,148217037
2020,9,148217047
2020,9,148217054
2020,6,148217055
2020,6,148217060
2020,6,148217061
2020,9,148217062
2020,6,148217071
2020,6,148217078
2020,9,148217080
2020,6,148217082
2020,6,148217084
2020,6,148217086
2020,6,148217090
2020,9,148227852
2020,6,148217094
2020,9,148217099
2020,6,148227858
2020,6,148227862
2020,6,148217106
2020,2,148227866
2020,6,148217111
2020,2,148227871
2020,6,148217119
2020,6,148217122
2020,6,148217123
2020,3,148217125
2020,6,148217129
2020,9,148227882
2020,9,148217134
2020,6,148217140
2020,6,148217147
2020,6,148217146
2020,2,148227899
2020,9,148217150
2020,6,148217157
2020,6,148217165
2020,6,148217169
2020,6,163646093
2020,3,163646092
2020,9,163647299
2020,9,163647298
2020,9,148931785
2020,6,153789969
2020,9,153789992
2020,6,153790512
2020,6,153512515
2020,9,153508506
2020,6,153508667
2020,6,153508668
2020,9,153512912
2020,6,153512963
2020,6,153508754
2020,6,153508768
2020,9,153508772
2020,9,153513078
2020,6,153508837
2020,9,153513250
2020,9,153513258
2020,6,153513293
2020,3,153513367
2020,9,153513642
2020,9,153509351
2020,7,153509487
2020,4,153514214
2020,6,153509661
2020,6,153509662
2020,9,153514350
2020,2,153514473
2020,6,153514486
2020,9,153514497
2020,6,153514625
2020,6,153509901
2020,9,153514723
2020,6,153514824
2020,9,153510077
2020,9,153515011
2020,6,153510078
2020,9,161892909
2020,4,161892914
2020,9,161893002
2020,9,161893012
2020,6,161893079
2020,9,161893133
2020,9,161893136
2020,9,161893158
2020,9,161888295
2020,9,161893199
2020,9,161893233
2020,9,161893385
2020,5,161888450
2020,6,161893587
2020,2,161894037
2020,9,148931868
2020,2,148931894
2020,6,148931921
2020,1,148931922
2020,9,148932000
2020,6,148936655
2020,9,148932067
2020,6,148932073
2020,8,148932115
2020,9,148932120
2020,9,148932124
2020,6,148932132
2020,9,148932149
2020,9,148932158
2020,3,148932159
2020,9,148932160
2020,9,148932187
2020,9,148932195
2020,9,149846277
2020,9,149846301
2020,9,149841723
2020,9,149846350
2020,4,149846360
2020,6,149846365
2020,6,149846364
2020,9,149846376
2020,9,149846384
2020,1,150244871
2020,6,150244885
2020,6,150244884
2020,9,150246917
2020,2,150246921
2020,9,150246954
2020,5,151088706
2020,6,151083662
2020,9,151083680
2020,6,151089077
2020,6,151083792
2020,9,151089222
2020,6,151084051
2020,9,151084155
2020,9,151084326
2020,3,151084337
2020,9,151217456
2020,9,151088747
2020,9,151083507
2020,6,151083522
2020,1,151088959
2020,9,151089015
2020,9,151089106
2020,6,151083765
2020,8,151083764
2020,6,151083801
2020,9,151084053
2020,9,151089444
2020,9,151084066
2020,9,151084084
2020,6,151089570
2020,3,151084210
2020,9,151084245
2020,6,151089729
2020,9,151089746
2020,6,151084325
2020,9,151089840
2020,9,151088707
2020,9,151083479
2020,9,151089052
2020,9,151083745
2020,8,151089214
2020,9,151083943
2020,9,151084151
2020,9,151089751
2020,9,151089763
2020,9,151089773
2020,9,151084349
2020,9,151089793
2020,11,151089846
2020,9,151088633
2020,9,151083337
2020,6,151083338
2020,9,151088695
2020,9,151083493
2020,9,151088926
2020,9,151089069
2020,9,151089138
2020,6,151083920
2020,9,151083944
2020,6,151084095
2020,9,151089554
2020,6,151089726
2020,6,151089727
2020,6,151083293
2020,4,151083318
2020,9,151083487
2020,9,151088994
2020,9,151083671
2020,6,151089037
2020,6,151089126
2020,9,151083840
2020,3,151089521
2020,9,151084180
2020,9,148936547
2020,9,148931859
2020,9,148931931
2020,9,148931934
2020,6,148932054
2020,9,148936667
2020,6,148932074
2020,6,148936676
2020,9,148936675
2020,1,148932081
2020,3,148932086
2020,9,148932098
2020,6,148932104
2020,9,148932108
2020,3,148932110
2020,9,148932123
2020,6,148932173
2020,9,151088700
2020,8,151083392
2020,9,151083520
2020,6,151083535
2020,9,151083923
2020,9,151089493
2020,2,151084125
2020,9,151084150
2020,6,151089656
2020,9,151089694
2020,6,151089841
2020,9,149841675
2020,9,149841684
2020,9,149841758
2020,9,149841760
2020,9,149841765
2020,3,149846351
2020,9,149841665
2020,9,149841669
2020,9,149841708
2020,9,149841737
2020,9,149841755
2020,9,149841767
2020,9,149841784
2020,9,149841794
2020,9,149841796
2020,9,149841846
2020,9,149841877
2020,6,149841900
2020,9,149846369
2020,9,149841946
2020,9,149841948
2020,9,149841956
2020,9,149841953
2020,9,149841954
2020,2,149841966
2020,9,149841968
2020,9,149841971
2020,9,149841979
2020,9,149841983
2020,6,149841992
2020,9,149842021
2020,9,149842030
2020,9,149842039
2020,9,149842044
2020,9,149842046
2020,6,149842055
2020,6,149842059
2020,9,149842066
2020,9,149842072
2020,9,149842088
2020,9,149842106
2020,6,149842110
2020,4,149842125
2020,4,149842133
2020,9,149842161
2020,9,149842183
2020,9,149842190
2020,3,149846464
2020,6,149846465
2020,6,149846466
2020,9,149842205
2020,6,149842210
2020,6,149842484
2020,9,149842494
2020,9,149842514
2020,6,149842532
2020,9,149842540
2020,8,149842561
2020,9,149842570
2020,9,149842587
2020,9,149842592
2020,6,149842597
2020,9,149842599
2020,2,149842602
2020,9,149842620
2020,8,149842626
2020,9,149842639
2020,6,149842666
2020,9,149842668
2020,5,149842669
2020,9,149842711
2020,9,149842736
2020,9,149842740
2020,6,149842742
2020,9,149842743
2020,6,149842774
2020,6,149842775
2020,6,149842773
2020,2,149842785
2020,4,149842790
2020,6,149842792
2020,6,149842798
2020,6,149842838
2020,6,149842847
2020,2,149842856
2020,6,149842859
2020,9,149842863
2020,9,149842865
2020,9,149842866
2020,6,149842867
2020,9,149842868
2020,9,149842870
2020,9,149842883
2020,6,149842885
2020,9,149842887
2020,9,149842889
2020,9,149842903
2020,3,149842904
2020,6,149842906
2020,9,149842912
2020,9,149842913
2020,9,149842917
2020,6,149842919
2020,9,149842921
2020,9,149842923
2020,4,149842927
2020,4,149842928
2020,6,149842937
2020,9,149842938
2020,9,149842943
2020,6,149842953
2020,6,149842959
2020,9,149842968
2020,9,149842992
2020,2,149843014
2020,9,149843015
2020,9,149843030
2020,9,149843031
2020,9,149843034
2020,9,149843049
2020,9,149843051
2020,9,149843060
2020,9,149843061
2020,9,149843070
2020,9,149843085
2020,6,149843091
2020,9,149843092
2020,9,149843105
2020,3,149843107
2020,6,149843106
2020,9,149843108
2020,9,149843109
2020,9,149843110
2020,9,149843114
2020,6,149843120
2020,6,149843126
2020,2,149843137
2020,6,149843144
2020,6,149843151
2020,9,149843153
2020,9,149843159
2020,9,149843160
2020,6,149843163
2020,9,149843166
2020,6,149843167
2020,6,149843168
2020,9,149843170
2020,6,149843174
2020,9,149843184
2020,9,149843193
2020,9,149843194
2020,9,149843195
2020,9,149843196
2020,6,149843197
2020,9,149843204
2020,9,149843211
2020,6,149843216
2020,9,149843221
2020,9,149843222
2020,8,149843224
2020,6,149843226
2020,9,149843228
2020,9,149843229
2020,9,149843230
2020,6,149843232
2020,9,149843234
2020,9,149843236
2020,2,149843238
2020,1,149843241
2020,9,149843244
2020,9,149843245
2020,9,149843251
2020,9,149843252
2020,9,149843255
2020,6,149843260
2020,9,149843262
2020,9,149843264
2020,6,149843265
2020,9,149843266
2020,6,149843273
2020,9,149843274
2020,9,149843278
2020,9,149843279
2020,9,149843284
2020,9,149843288
2020,9,149843289
2020,9,149843290
2020,6,149843293
2020,9,149843295
2020,9,149843304
2020,9,149841851
2020,8,149841876
2020,10,149841951
2020,9,149841955
