"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,144315909,149144936,24,47211451
2020,144315910,149144936,24,47211452
2020,144315910,149144934,24,47211453
2020,144315909,149144934,24,47211450
2020,144319219,149144942,24,47200436
2020,144319219,149144941,24,47200435
2020,144319238,149147933,24,47200453
2020,144319266,149147961,18,47200471
2020,144319281,149150017,18,47200487
2020,144319289,149147992,24,47200493
2020,144319317,149150045,3,47200515
2020,144319328,149150058,18,47200526
2020,144319335,149148037,18,47200537
2020,144319337,149148037,18,47200538
2020,144319336,149148037,18,47211547
2020,144316027,149148041,18,47211562
2020,144316026,149148041,18,47211561
2020,144319347,149148041,18,47211563
2020,144316024,149148041,18,47211559
2020,144316025,149148041,18,47211560
2020,144319356,149150092,18,47211572
2020,144319409,149150133,24,47211611
2020,144319416,149150138,4,47200624
2020,144319415,149150138,3,47200623
2020,144319437,149150153,18,47200639
2020,144316117,149150157,18,47200645
2020,144319477,149150185,18,47200665
2020,144319483,149148153,18,47200671
2020,144316136,149148154,18,47200675
2020,144316144,149148156,24,47211659
2020,144316144,149148157,24,47211660
2020,144316164,149150227,1,47211675
2020,144319553,149150272,18,47200733
2020,144319553,149150271,18,47200732
2020,144316246,149148279,18,47211754
2020,144316269,149150329,18,47211771
2020,144316285,149150343,24,47211786
2020,144316406,149148445,18,47200920
2020,144319772,149148459,18,47200929
2020,144316442,149150486,18,47200945
2020,144319798,149150491,18,47200949
2020,144319800,149148484,18,47200951
2020,144319805,149150502,18,47211950
2020,144316486,149148533,27,47211992
2020,144319887,149150586,18,47201042
2020,144316512,149148557,18,47212026
2020,144319911,149148561,18,47201063
2020,144319926,149148580,18,47212059
2020,144319937,149148589,18,47201095
2020,144316557,149148597,18,47212082
2020,145656643,150616081,19,47848198
2020,145656627,150609885,16,47844032
2020,145656627,150609886,16,47844033
2020,146106233,151128039,18,48039223
2020,146106266,151130633,18,48044098
2020,146110696,151128078,18,48044106
2020,146106329,151128102,18,48039300
2020,146106357,151130651,18,48039328
2020,146106640,151128443,18,48039638
2020,146110843,151128456,1,48044183
2020,146106675,151128467,18,48039667
2020,146106676,151128467,18,48039668
2020,146106674,151128467,18,48039666
2020,146110858,151128493,18,48044195
2020,146110901,151128604,24,48039791
2020,146110901,151128603,24,48039790
2020,146106961,151128773,18,48039909
2020,146106962,151128773,18,48039911
2020,146106984,151128789,18,48039927
2020,146107032,151130950,18,48039970
2020,146107036,151128840,18,48039972
2020,146110989,151130952,24,48039983
2020,146111012,151128898,9,48044284
2020,146107181,151128956,18,48040108
2020,146107179,151128957,18,48040105
2020,146107179,151128958,18,48040106
2020,146107179,151128956,18,48040103
2020,146107181,151128958,18,48040111
2020,146107181,151128957,18,48040109
2020,146111065,151129047,18,48044315
2020,146107287,151131050,3,48040196
2020,146107349,151129131,24,48040247
2020,146107408,151129181,18,48040313
2020,146107400,151129181,18,48040306
2020,146107406,151129181,18,48040311
2020,146107401,151129181,18,48040307
2020,146111097,151129181,18,48040304
2020,146107397,151129181,18,48040302
2020,146107409,151129181,18,48044335
2020,146107410,151129181,18,48040316
2020,146107399,151129181,18,48040305
2020,146107404,151129181,18,48040309
2020,146107412,151129181,18,48040318
2020,146111114,151129212,18,48044345
2020,146107546,151129333,20,48040409
2020,146107561,151131130,18,48040417
2020,146107603,151129384,18,48040445
2020,146111188,151129405,18,48044380
2020,146107645,151131168,18,48040474
2020,146107644,151131168,18,48044386
2020,146111210,151129438,18,48040490
2020,146111210,151129440,18,48044391
2020,146107702,151129471,24,48040519
2020,146107716,151129488,18,48040534
2020,146107757,151129530,18,48040575
2020,146107762,151129539,18,48040580
2020,146107779,151129554,18,48040595
2020,146107791,151129562,18,48040605
2020,146111270,151129587,18,48044426
2020,146107815,151129587,18,48040628
2020,146111274,151129607,18,48044428
2020,146111278,151129637,18,48040661
2020,146107883,151131254,18,48040690
2020,146107883,151129682,18,48040689
2020,146107883,151129679,18,48040685
2020,146107883,151129681,18,48040686
2020,146111290,151129720,18,48044453
2020,146111298,151129752,18,48044459
2020,146111353,151129857,18,48044485
2020,146113094,151129876,3,48040872
2020,146113122,151129911,18,48040897
2020,146113134,151129925,18,48040909
2020,146113186,151134974,18,48040952
2020,146111388,151134984,18,48040971
2020,146113217,151134998,18,48040981
2020,146113232,151131366,18,48040995
2020,146111415,151131386,18,48044523
2020,146113278,151135059,1,48041027
2020,145656604,150609854,24,47848190
2020,145656604,150616033,24,47848189
2020,145656604,150616032,24,47848188
2020,145656604,150609853,24,47848187
2020,145656783,150616218,18,47844065
2020,145656782,150616218,18,47844064
2020,145656784,150616218,18,47844066
2020,145656785,150616218,18,47844067
2020,145656853,150616288,5,47844080
2020,145657575,150620839,16,47844231
2020,145657611,150617428,17,47844237
2020,145657610,150617428,17,47844236
2020,145662522,150620946,25,47848544
2020,145657664,150617538,25,47848546
2020,145662522,150617538,17,47848545
2020,146506037,151537279,18,48244035
2020,146508324,151534829,24,48239668
2020,146506078,151537322,18,48244073
2020,146508379,151534877,18,48244099
2020,146506157,151537432,18,48244138
2020,146508503,151537499,18,48244218
2020,146508519,151540003,18,48239858
2020,146506263,151537551,18,48244251
2020,146506267,151537558,18,48244253
2020,146508561,151540044,18,48239892
2020,146508573,151540051,18,48244275
2020,146506288,151540051,18,48244274
2020,146506330,151540088,18,48244319
2020,146506342,151537617,18,48239956
2020,146508631,151537612,18,48239975
2020,146508628,151537612,18,48239963
2020,146508631,151540097,18,48239974
2020,146508629,151540097,18,48239968
2020,146508629,151540096,18,48239967
2020,146508628,151540096,18,48244334
2020,146508631,151540096,18,48239973
2020,146508628,151540097,18,48239959
2020,146508629,151537612,18,48239971
2020,146506358,151540133,18,48239998
2020,146506369,151537646,18,48244372
2020,146506389,151540179,18,48244392
2020,146506399,151537667,27,48244408
2020,146506400,151537669,1,48244410
2020,146506403,151540198,18,48240077
2020,146506403,151537673,18,48240076
2020,146508681,151540198,18,48244421
2020,146508681,151537673,18,48240078
2020,146506447,151540251,18,48244466
2020,146508721,151540251,18,48240118
2020,146506451,151540252,1,48244472
2020,146506456,151537729,18,48244475
2020,146508730,151537730,18,48240128
2020,146508736,151537731,18,48240141
2020,146508732,151537731,18,48240131
2020,146506456,151537730,18,48244476
2020,146506458,151537729,18,48244479
2020,146508736,151537730,18,48240140
2020,146506458,151537730,18,48244480
2020,145841134,150854797,25,47920869
2020,145841134,150854799,21,47920870
2020,145841136,150854799,25,47922304
2020,145841136,150854797,21,47922305
2020,146106299,151128079,18,48039275
2020,146106374,151128159,21,48039338
2020,146106390,151130663,18,48039353
2020,146106416,151130674,18,48039374
2020,146106417,151128202,24,48039377
2020,146106445,151130700,18,48039403
2020,146106538,151128330,26,48039515
2020,146106546,151128336,18,48039533
2020,146106599,151128392,19,48039606
2020,146106598,151128392,6,48039604
2020,146106648,151128447,18,48039643
2020,146110859,151128500,18,48044196
