"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,141058982,155172954
2020,141058982,155172953
2020,141065426,155169149
2020,141065439,155169163
2020,141059047,155173016
2020,141059051,155169216
2020,141065534,155173055
2020,141065541,155173062
2020,141059110,155169269
2020,141065566,155169279
2020,141065566,155169278
2020,141059214,155169371
2020,141065697,155173204
2020,141065705,155169390
2020,141059267,155169422
2020,141065752,155173266
2020,141065755,155173269
2020,141065778,155173297
2020,141065778,155173295
2020,141065778,155173293
2020,141065784,155173301
2020,141065803,155173321
2020,141065811,155173326
2020,141065812,155173326
2020,141065815,155173329
2020,141065820,155169460
2020,141059315,155169460
2020,141065822,155169460
2020,141065821,155169460
2020,141059381,155169545
2020,141065922,155173430
2020,141065922,155173429
2020,141065395,155172919
2020,141065415,155169133
2020,141058976,155169135
2020,141058991,155169143
2020,141058991,155172962
2020,141059007,155169166
2020,141065460,155169190
2020,141059034,155173001
2020,141059062,155169224
2020,141065516,155169231
2020,141065531,155173053
2020,141059091,155169252
2020,141059093,155169254
2020,141065558,155169273
2020,141059125,155173091
2020,141059125,155173090
2020,141059144,155173111
2020,141059145,155169302
2020,141065604,155173126
2020,141065604,155173125
2020,141059161,155169311
2020,141059155,155169310
2020,141059160,155169310
2020,141059187,155173157
2020,141059195,155169348
2020,141059260,155169416
2020,141059265,155173257
2020,141059319,155173336
2020,141059319,155173338
2020,141059326,155169467
2020,141059326,155169470
2020,141059336,155173359
2020,141065853,155173364
2020,141059341,155169494
2020,141059342,155169497
2020,141059343,155169497
2020,141059347,155169502
2020,141059347,155169501
2020,141059353,155169507
2020,141059398,155169572
2020,141065946,155173450
2020,141059404,155169580
2020,141059404,155169579
2020,141059423,155169600
2020,141066011,155173519
2020,141066023,155173530
2020,141066022,155173530
2020,141066022,155173531
2020,141066029,155173542
2020,141066031,155173543
2020,141059467,155169641
2020,141066034,155169642
2020,141066036,155169641
2020,146508313,160645009
2020,146506055,160645026
2020,146506055,160646822
2020,146506082,160645051
2020,146506097,160646860
2020,146506097,160646861
2020,146506109,160646880
2020,146506127,160646909
2020,146506127,160646911
2020,146508402,160646909
2020,146506127,160646913
2020,146508439,160645146
2020,146508440,160646954
2020,146506162,160645148
2020,146506166,160646961
2020,146506165,160646961
2020,146506186,160646985
2020,146506186,160646987
2020,146506193,160646992
2020,146506193,160646993
2020,146506205,160645180
2020,146506224,160647030
2020,146508619,160645314
2020,146508619,160647134
2020,146506366,160645336
2020,146506390,160645358
2020,146506415,160645373
2020,146506430,160647221
2020,146506468,160647262
2020,146508769,160645430
2020,146506504,160645444
2020,146506509,160645449
2020,146506509,160645450
2020,146508809,160645484
2020,146506621,160647435
2020,146506622,160647437
2020,146506623,160647439
2020,146508918,160645598
2020,146508922,160647447
2020,146506635,160647453
2020,146506638,160647455
2020,146506640,160647457
2020,146506646,160647457
2020,146506670,160645643
2020,146506670,160645640
2020,146506669,160645639
2020,146508947,160645634
2020,146508948,160645635
2020,146508976,160645662
2020,146508976,160645661
2020,146508978,160647494
2020,146508986,160645674
2020,146506706,160645676
2020,146506714,160645683
2020,146508997,160645686
2020,146506723,160647535
2020,146509020,160647552
2020,146509020,160647549
2020,146506732,160647555
2020,146506735,160645706
2020,146506742,160647558
2020,146506740,160647558
2020,146509022,160647561
2020,146509023,160647562
2020,146509022,160647562
2020,146509023,160647561
2020,146506750,160647574
2020,146506750,160645721
2020,146506753,160645725
2020,146509044,160647586
2020,146506766,160647587
2020,146509050,160645750
2020,136220787,150246881
2020,136220787,150244822
2020,136217006,150244824
2020,136220789,150244826
2020,136220789,150244827
2020,136220790,150246885
2020,136220793,150246886
2020,136220795,150246888
2020,136220796,150246890
2020,136220797,150244840
2020,136220797,150244841
2020,136220798,150246891
2020,136220800,150246894
2020,136220800,150246893
2020,136220800,150246892
2020,136217028,150244851
2020,136217028,150246895
2020,136217030,150246896
2020,136217033,150244856
2020,136220801,150246897
2020,136220803,150244869
2020,136217041,150244871
2020,136217044,150244874
2020,136220807,150244878
2020,136220807,150244879
2020,136220809,150246904
2020,136220810,150244885
2020,136220810,150244884
2020,136220811,150246906
2020,136220813,150246909
2020,136220814,150246910
2020,136220815,150246911
2020,136220815,150246912
2020,136220816,150246912
2020,136220816,150246911
2020,136217056,150244887
2020,136220819,150246917
2020,136220820,150246917
2020,136220821,150246918
2020,136220822,150246919
2020,136217059,150244889
2020,136217059,150244888
2020,136220823,150246921
2020,136220823,150246922
2020,136220825,150244891
2020,136220826,150244892
2020,136220826,150244893
2020,136220827,150246923
2020,136220828,150246925
2020,136220830,150246926
2020,136220829,150246926
2020,136220831,150246927
2020,136220832,150246928
2020,136220833,150246928
2020,136220834,150246929
2020,136220834,150246930
2020,136220835,150246931
2020,136220836,150246932
2020,136220837,150246933
2020,136220838,150246934
2020,136220839,150246935
2020,136217071,150244906
2020,136220840,150246936
2020,136220841,150246937
2020,136220842,150246938
2020,136220843,150246939
2020,136220844,150246940
2020,136220845,150246941
2020,136220846,150244913
2020,136217078,150244913
2020,136217079,150244913
2020,136220848,150244913
2020,136220847,150244913
2020,136220849,150246942
2020,136220849,150246943
2020,136220850,150246944
2020,136220850,150246945
2020,136220851,150246947
2020,136220851,150246946
2020,136220852,150246948
2020,136220853,150246950
2020,136220853,150246949
2020,136220854,150246951
2020,136220855,150246952
2020,137004843,151089530
2020,137004854,151084135
2020,137004865,151084144
2020,137004878,151089544
2020,137003962,151088617
2020,137003967,151083306
2020,137009129,151088630
2020,137004027,151083354
2020,137009218,151088725
2020,137004052,151083382
2020,137009226,151088734
2020,137004059,151083390
2020,137004063,151083394
2020,137004063,151083395
2020,137004083,151083413
2020,137004083,151083412
2020,137004103,151083430
2020,137004106,151088798
2020,137004107,151088798
2020,137004125,151083455
2020,137004138,151083469
2020,137004150,151083478
2020,137004169,151083497
2020,137004181,151083506
2020,137004195,151083517
2020,137004205,151088885
2020,137004222,151083557
2020,137004269,151083601
2020,137004300,151083635
2020,137004306,151083643
2020,137004327,151083661
2020,137004342,151089018
2020,137004358,151089036
2020,137004386,151083716
2020,137004436,151089128
2020,137004436,151089129
2020,137004456,151089142
2020,137004475,151089163
2020,137004504,151089184
2020,137009716,151089201
2020,137009725,151089215
2020,137004571,151089255
2020,137009769,151089261
2020,137009790,151089277
2020,137004599,151089283
2020,137004614,151089297
2020,137009815,151089305
2020,137009825,151089314
2020,137004692,151083991
2020,137004729,151084025
2020,137004773,151084063
2020,137004771,151084061
2020,137004786,151084073
2020,137004789,151084075
2020,137004797,151084082
2020,137010013,151089505
2020,137010013,151089506
2020,137010019,151084098
2020,137004810,151084096
2020,137004828,151084106
2020,137004901,151084181
2020,137004911,151084189
2020,137004915,151084191
2020,137004922,151084199
2020,137004940,151084216
2020,137010103,151089608
2020,137004947,151089611
2020,137004972,151089634
2020,137010134,151084242
2020,137004996,151089660
2020,137005021,151084268
2020,137010184,151084291
2020,137005053,151089709
2020,137010191,151089713
2020,137005068,151084302
2020,137005073,151089730
2020,137005077,151084308
2020,137005129,151089783
2020,137005154,151084365
2020,137010287,151089802
2020,137010290,151089802
2020,137005163,151089802
2020,137010285,151089802
2020,137010289,151089802
2020,137010286,151089802
2020,137010288,151089802
2020,137005174,151084383
2020,137010294,151084383
2020,137010306,151089824
2020,137010310,151089834
2020,137004272,151083606
