"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39661806,1,39965124
2020,39661807,1,39965125
2020,39661808,1,39965126
2020,39661819,1,39965137
2020,39661841,1,39965159
2020,39661844,1,39965162
2020,39661843,1,39965161
2020,39661855,1,39965173
2020,39661918,1,39965236
2020,41308013,1,41695894
2020,41308014,1,41695895
2020,41308015,1,41695896
2020,41308016,1,41695897
2020,41308017,1,41695898
2020,41308018,1,41695899
2020,41308042,1,41695923
2020,41308044,1,41695925
2020,41308045,1,41695926
2020,41308046,1,41695927
2020,39661799,1,39965117
2020,39661801,1,39965119
2020,39661800,1,39965118
2020,39034572,1,39255395
2020,39034573,1,39255396
2020,39034606,1,39255429
2020,39034523,1,39255346
2020,39039479,1,39260307
2020,39034525,1,39255348
2020,39660087,1,39943404
2020,39660092,1,39943409
2020,39660107,1,39943424
2020,39039502,1,39260330
2020,39039501,22,39260329
2020,39660126,1,39943443
2020,39039523,1,39260351
2020,39039524,1,39260352
2020,39039525,1,39260353
2020,39660129,1,39943446
2020,39641728,1,39940039
2020,39641732,1,39940043
2020,39641735,1,39940046
2020,39641825,1,39940136
2020,39643745,1,39942061
2020,40004780,1,40340218
2020,39643812,1,39942128
2020,40004781,1,40340219
2020,39643831,1,39942147
2020,39643986,1,39942302
2020,39643992,1,39942308
2020,40004784,1,40340222
2020,40004805,1,40340243
2020,40010233,1,40355655
2020,40010234,1,40355656
2020,40010235,1,40355657
2020,40010236,1,40355658
2020,39660651,1,39943968
2020,39660652,1,39943969
2020,39660653,1,39943970
2020,39660665,1,39943982
2020,40010229,1,40355651
2020,39660674,1,39943991
2020,40010231,1,40355653
2020,39660676,1,39943993
2020,39660677,1,39943994
2020,39660678,1,39943995
2020,39660679,1,39943996
2020,39660680,1,39943997
2020,40010240,1,40355662
2020,40010241,1,40355663
2020,40010242,1,40355664
2020,40010246,1,40355668
2020,39662117,1,39965435
2020,39660749,1,39944066
2020,39660751,1,39944068
2020,39660752,1,39944069
2020,39660753,1,39944070
2020,39660754,1,39944071
2020,39660755,1,39944072
2020,39660792,1,39944109
2020,39660793,1,39944110
2020,39660815,1,39944132
2020,39660816,1,39944133
2020,39660828,1,39944145
2020,39660829,1,39944146
2020,39660830,1,39944147
2020,39660831,1,39944148
2020,39660832,1,39944149
2020,39660836,1,39944153
2020,39660838,1,39944155
2020,40010247,1,40355669
2020,39660842,1,39944159
2020,40010251,3,40355673
2020,40010258,1,40355680
2020,40010262,1,40355684
2020,40010381,1,40355804
2020,40010383,1,40355806
2020,39660791,1,39944108
2020,39660848,1,39944165
2020,40010384,1,40355807
2020,39660850,1,39944167
2020,39661090,1,39944407
2020,39661091,1,39944408
2020,40010387,7,40355810
2020,39669595,7,39960059
2020,40010389,1,40355812
2020,39661182,1,39944499
2020,39661183,1,39944500
2020,39661194,1,39944511
2020,39661196,1,39944513
2020,39661201,1,39944518
2020,39661206,1,39944523
2020,39661209,1,39944526
2020,40010390,1,40355813
2020,39661221,1,39944538
