"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,141660165,10,
2020,148291398,10,
2020,148058290,10,
2020,148834747,10,
2020,143568187,9,
2020,143600133,9,
2020,143600134,9,
2020,143603532,9,
2020,146755027,4,
2020,146761101,6,
2020,141992773,10,
2020,142008188,9,
2020,142750457,10,
2020,142841444,10,
2020,142757191,1,
2020,142757200,1,
2020,141971724,10,
2020,146771237,1,
2020,141261123,1,
2020,144753668,9,
2020,146800451,1,
2020,146958078,9,
2020,146747659,6,
2020,146755004,10,
2020,146757289,9,
2020,146758992,10,
2020,146759706,9,
2020,146760436,10,
2020,146773811,9,
2020,146799813,1,
2020,137574088,5,
2020,136336112,10,
2020,136797655,2,
2020,136981322,10,
2020,136114941,10,
2020,135494144,9,
2020,135094408,1,
2020,135421828,9,
2020,135311769,1,
2020,135096964,1,
2020,136638047,10,
2020,135193410,9,
2020,136759890,1,
2020,135094262,10,
2020,136210091,10,
2020,135140988,9,
2020,137166376,3,
2020,137575127,10,
2020,137609031,10,
2020,136759862,10,
2020,136986976,1,
2020,135418932,1,
2020,140173320,1,
2020,140903233,10,
2020,140685170,10,
2020,146821756,1,
2020,141952536,9,
2020,139880127,4,
2020,144123474,1,
2020,140147055,10,
2020,137609848,1,
2020,137609888,1,
2020,141599540,10,
2020,141111398,10,
2020,136973341,1,
2020,136985565,10,
2020,139888309,10,
2020,140142132,10,
2020,140142401,10,
2020,140778249,10,
2020,140778245,10,
2020,143567230,1,
2020,143581628,1,
2020,143567753,1,
2020,146959690,10,
2020,132574146,9,
2020,139790630,6,
2020,133173610,10,
2020,139883722,1,
2020,140373106,6,
2020,140819168,9,
2020,142730625,1,
2020,142749140,1,
2020,132082088,10,
2020,141673300,10,
2020,140189453,1,
2020,147844440,10,
2020,144749213,9,
2020,148907992,10,
2020,148041568,1,
2020,146793303,10,
2020,141659466,9,
2020,141774616,6,
2020,143748181,10,
2020,147426311,10,
2020,148886917,1,
2020,141247894,9,
2020,148057510,10,
2020,148057506,10,
2020,144796968,1,
2020,144986886,2,
2020,143740963,6,
2020,147470871,1,
2020,147468655,1,
2020,147538760,9,
2020,143630093,1,
2020,143632479,10,
2020,148057774,10,
2020,148304882,10,
2020,147257099,10,
2020,144798155,9,
2020,144798160,10,
2020,144803401,1,
2020,144986750,1,
2020,144996244,10,
2020,146898819,1,
2020,146826961,10,
2020,142879966,1,
2020,144791333,9,
2020,148290137,1,
2020,146964228,10,
2020,143739089,1,
2020,143739089,9,
2020,143747916,1,
2020,142002728,9,
2020,146781370,10,
2020,142001521,10,
2020,132984156,10,
2020,132984816,10,
2020,133184234,10,
2020,142701773,10,
2020,147258615,10,
2020,135463520,10,
2020,133392760,10,
2020,136436104,10,
2020,137975829,2,
2020,149283280,10,
2020,133816950,1,
2020,136968576,1,
2020,135008341,10,
2020,141985521,9,
2020,147842350,9,
2020,147535104,1,
2020,146778677,10,
2020,146699410,9,
2020,142054736,9,
2020,142046324,1,
2020,142725947,10,
2020,144749235,10,
2020,147536574,10,
2020,147536571,10,
2020,148839533,9,
2020,148684145,10,
2020,148684149,10,
2020,142355820,1,
2020,143593259,1,
2020,144120442,9,
2020,142725398,9,
2020,144241390,1,
2020,143582844,8,
2020,143632542,9,
2020,143022286,10,
2020,143581176,10,
2020,143592961,1,
2020,147535155,1,
2020,147535245,1,
2020,143569786,9,
2020,148282823,1,
2020,135008711,1,
2020,135009317,1,
2020,141606808,10,
2020,144985818,2,
2020,146941504,10,
2020,143022691,1,
2020,144120428,1,
2020,144791328,10,
2020,148913108,10,
2020,148050984,10,
2020,147537565,1,
2020,141605477,6,
2020,141655860,10,
2020,141669287,1,
2020,141669287,6,
2020,144994929,1,
2020,141668577,1,
2020,141669991,10,
2020,144239684,9,
2020,144239893,10,
2020,144795328,1,
2020,143628548,17,
2020,141976183,10,
2020,146872856,10,
2020,141958556,9,
2020,142889985,10,
2020,144986487,9,
2020,142357690,1,
2020,146765997,9,
2020,146882386,11,5
2020,144791647,10,
2020,148904461,9,
2020,140198220,6,
2020,140137447,9,
2020,140137445,9,
2020,140374569,4,
2020,140379453,1,
2020,140189439,2,
