"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,12,152378137,30557664
2020,12,152378149,30557667
2020,12,152378153,30557670
2020,12,152378156,30557671
2020,12,152378165,30557673
2020,12,152378363,30557696
2020,12,152375214,30557050
2020,18,152375257,30557056
2020,20,152375266,30557059
2020,2,152375298,30557069
2020,12,152375405,30557092
2020,12,152375494,30557113
2020,12,152375504,30557119
2020,11,152375509,30557121
2020,12,152375583,30557142
2020,3,152375819,30557194
2020,20,152375831,30557197
2020,2,152376199,30557254
2020,2,154311540,31231870
2020,3,154311533,31231868
2020,20,154311537,31231869
2020,12,152375048,30557019
2020,3,152375063,30557023
2020,3,152375064,30557024
2020,20,152375068,30557025
2020,20,152375069,30557026
2020,20,152375350,30557079
2020,20,152375444,30557098
2020,22,152375468,30557105
2020,20,152375487,30557110
2020,12,152375496,30557115
2020,12,152375505,30557120
2020,12,152375548,30557131
2020,12,152375552,30557133
2020,3,152375589,30557143
2020,12,152376014,30557220
2020,12,152376044,30557225
2020,12,152376067,30557229
2020,12,152376193,30557251
2020,20,152376222,30557258
2020,3,152376231,30557262
2020,20,152376235,30557263
2020,12,152376453,30557300
2020,12,152376458,30557302
2020,20,152376468,30557305
2020,3,152376475,30557306
2020,12,152376480,30557309
2020,12,152376484,30557312
2020,20,152376499,30557316
2020,12,152376502,30557317
2020,12,152376519,30557320
2020,12,152376521,30557322
2020,12,152376523,30557323
2020,12,152376564,30557330
2020,12,152376565,30557331
2020,20,152376573,30557332
2020,12,152376591,30557338
2020,12,152376596,30557339
2020,12,152376622,30557345
2020,12,152376630,30557350
2020,12,152376647,30557355
2020,20,152376654,30557358
2020,3,152376660,30557360
2020,12,152376683,30557365
2020,12,152376697,30557368
2020,12,152376707,30557370
2020,12,152376709,30557372
2020,12,152376718,30557375
2020,12,151657345,30303807
2020,12,151657350,30303811
2020,3,151657384,30303817
2020,3,151657397,30303821
2020,12,152376213,30557255
2020,12,152378520,30557732
2020,12,152378618,30557747
2020,12,152378707,30557763
2020,3,155726933,31623463
2020,12,155726939,31623464
2020,12,155726943,31623467
2020,3,155726942,31623465
2020,10,155726942,31623466
2020,20,155726944,31623468
2020,9,155726952,31623469
2020,12,155726953,31623470
2020,18,155726955,31623471
2020,12,155726995,31623480
2020,2,155727007,31623485
2020,12,155727018,31623487
2020,12,155727019,31623488
2020,4,155727021,31623489
2020,20,155727024,31623491
2020,3,155727026,31623492
2020,12,155727030,31623493
2020,3,155727039,31623497
2020,9,155727050,31623498
2020,12,155727052,31623500
2020,12,155727053,31623501
2020,11,155727091,31623504
2020,19,155727093,31623505
2020,12,152385448,30559388
2020,12,155727123,31623509
2020,18,155727129,31623510
2020,3,155727136,31623512
2020,12,155727137,31623513
2020,12,155727138,31623514
2020,12,155727198,31623527
2020,11,155727203,31623528
2020,2,155727206,31623529
2020,12,155727219,31623530
2020,20,155727221,31623531
2020,12,155727226,31623532
2020,2,155727269,31623539
2020,3,155727273,31623540
2020,12,154254715,31134261
2020,20,154254717,31134262
2020,18,151656762,30303720
2020,3,151616559,30290429
2020,12,151616565,30290432
2020,12,151616564,30290431
2020,12,151616601,30290437
2020,12,151616603,30290438
2020,19,151616665,30290449
2020,12,151656787,30303722
