"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,131220405,2,1,15358301
2020,1,131220422,0.5,1,15358303
2020,5,131220453,0.1,3,15358305
2020,4,131220466,18,9,15358306
2020,5,131220603,1,1,15358334
2020,4,131220624,4,9,15358335
2020,5,131220710,0.26,1,15358340
2020,12,131220710,6.12,1,15358341
2020,9,131220727,1,9,15358348
2020,5,131220730,7.05,1,15358349
2020,5,131220733,3.6,1,15358350
2020,5,131220745,7.42,1,15358353
2020,14,131220747,201,9,15358354
2020,15,131220751,1,9,15358355
2020,5,131220754,0.49,1,15358356
2020,5,131222970,1,1,15358603
2020,5,131223218,5,1,15358627
2020,16,131223014,3,9,15358607
2020,5,131223014,2,1,15358606
2020,8,131223401,4,9,15358660
2020,8,131223404,5,9,15358661
2020,5,131223404,1,1,15358662
2020,8,131223417,14.5,9,15358667
2020,4,131223417,0.5,1,15358668
2020,12,131223417,0.25,8,15358669
2020,12,131223426,1.1,1,15358673
2020,12,131223440,0.2,1,15358678
2020,8,131223453,11,9,15358680
2020,12,131223458,0.05,1,15358684
2020,17,131223458,3,9,15358683
2020,8,131223458,1,9,15358682
2020,5,131223491,1.3,1,15358699
2020,12,131223497,0.01,1,15358701
2020,2,131223504,2.9,1,15358702
2020,5,131223517,0.7,1,15358703
2020,5,131223524,4.2,1,15358704
2020,8,131223525,1,9,15358705
2020,15,131223531,2,9,15358707
2020,5,131223543,2,1,15358709
2020,5,131223562,30,1,15358717
2020,5,131227969,0.4,1,15359437
2020,5,131227982,4,1,15359439
2020,1,131249518,0.5,1,15361741
2020,5,131242228,0.057,2,15360874
2020,8,131242232,15,9,15360875
2020,5,131260343,127,1,15361854
2020,8,131260343,5,9,15361855
2020,5,131480586,1.8,1,15417635
2020,5,131480627,3,1,15417644
2020,1,131480762,0.3,1,15417650
2020,17,131480796,,,15417653
2020,5,131480853,3.2,1,15417659
2020,5,131481032,1,1,15417671
2020,8,131481479,68,9,15417733
2020,12,131481479,0.78,1,15417734
2020,12,131481480,0.5,1,15417735
2020,5,131481486,194,1,15417737
2020,17,131481507,,,15417741
2020,12,131481522,0.04,1,15417744
2020,4,131197564,10,9,15331203
2020,5,131196740,36,1,15331056
2020,17,131205289,,,15331543
2020,1,131205295,16,1,15331544
2020,5,131205295,2,1,15331545
2020,5,131205346,16,1,15331548
2020,5,131205349,5.2,1,15331549
2020,12,131205693,0.5,1,15331594
2020,5,131205767,1,1,15331604
2020,5,131206559,4.4,1,15331731
2020,5,131206578,4,1,15331737
2020,1,131206578,5.9,1,15331735
2020,2,131206578,0.2,1,15331736
2020,5,131206587,1.4,1,15331740
2020,5,131206756,0.05,3,15331754
2020,18,131206756,,,15331755
2020,9,131206756,10,9,15331753
2020,12,131206761,10,1,15331756
2020,5,131207379,0.011,2,15331796
2020,5,131207406,0.001,2,15331800
2020,1,131208456,2,1,15331937
2020,8,131208465,4,9,15331946
2020,5,131208491,8,1,15331953
2020,2,131208494,0.5,1,15331954
2020,5,131208494,26,1,15331955
2020,5,131208506,1,10,15331956
2020,8,131208506,1,9,15331958
2020,5,131208506,1,1,15331957
2020,8,131208570,11,9,15331968
2020,5,131208590,5,1,15331971
2020,5,131208603,2,1,15331976
2020,7,131208603,0.5,9,15331978
2020,8,131208603,0.5,9,15331977
2020,5,131208647,2,1,15331982
2020,5,131208912,4,1,15332039
2020,5,131208945,1.36,1,15332047
